"Deployment Timeline","List","URL","Domain Name","Small Medium Contacts","ALl Companies","Number Of Results","Enrich Company","Name","Website","Employee Count","Locality","LinkedIn Url","Address","City","State","Country","Employee Count (2)","Industry","Send table data","Send table data (2)"
"Friday","Medium & Small Contacts","hydro.mb.ca","hydro.mb.ca","❌ 0 Records Found","❌ 0 Records Found",,"Manitoba Hydro","Manitoba Hydro","http://www.hydro.mb.ca/",3241,"Winnipeg, Manitoba","https://www.linkedin.com/company/manitoba-hydro","360 Portage Avenue, Winnipeg, Manitoba R3C 0G8, CA","Winnipeg","Manitoba","CA",3241,"Utilities","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","ntpc.com","ntpc.com","❌ 0 Records Found","❌ 0 Records Found",,"NTPC – Northwest Territories Power Corporation","NTPC – Northwest Territories Power Corporation","https://poweringNWT.ca",184,"Hay River","https://www.linkedin.com/company/nwt-power-corporation","Hay River, CA","Hay River","","CA",184,"Utilities","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","oakvillehydro.com","oakvillehydro.com","❌ 0 Records Found","❌ 0 Records Found",,"Oakville Hydro","Oakville Hydro","http://oakvillehydro.com",92,"Oakville, Ontario","https://www.linkedin.com/company/oakville-hydro","861 Redwood Square, Oakville, Ontario L6L 6R6, CA","Oakville","Ontario","CA",92,"Utilities","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","opg.com","opg.com","❌ 0 Records Found","❌ 0 Records Found",,"Ontario Power Generation","Ontario Power Generation","http://www.opg.com",9448,"Toronto, ON","https://www.linkedin.com/company/ontario-power-generation","700 University Avenue, Toronto, ON M5G 1X6, CA","Toronto","ON","CA",9448,"Utilities","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","riotinto.com","riotinto.com","❌ 0 Records Found","❌ 0 Records Found",,"Rio Tinto","Rio Tinto","http://www.riotinto.com",40496,"London, Greater London","https://www.linkedin.com/company/rio-tinto","6 St James's Square, London, Greater London SW1Y 4AD, GB","London","Greater London","GB",40496,"Mining","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","sjenergy.com","sjenergy.com","❌ 0 Records Found","❌ 0 Records Found",,"Saint John Energy","Saint John Energy","https://sjenergy.ca",78,"Saint John, New Brunswick","https://www.linkedin.com/company/sjenergy","325 Simms Street, Saint John, New Brunswick E2M 3L6, CA","Saint John","New Brunswick","CA",78,"Utilities","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","saskatoon.ca","saskatoon.ca","❌ 0 Records Found","❌ 0 Records Found",,"City of Saskatoon","City of Saskatoon","http://www.saskatoon.ca",1841,"Saskatoon, SK","https://www.linkedin.com/company/city-of-saskatoon","222 Third Ave North, Saskatoon, SK S7K 0J5, CA","Saskatoon","SK","CA",1841,"Government Administration","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","tcenergy.com","tcenergy.com","❌ 0 Records Found","❌ 0 Records Found",,"TC Energy","TC Energy","https://www.TCEnergy.com/",8106,"Calgary, Alberta","https://www.linkedin.com/company/tcenergy","450 1st Street SW, Calgary, Alberta T2P 5H1, CA","Calgary","Alberta","CA",8106,"Oil and Gas","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","torontohydro.com","torontohydro.com","❌ 0 Records Found","❌ 0 Records Found",,"Toronto Hydro","Toronto Hydro","http://www.torontohydro.com",1856,"Toronto, ON","https://www.linkedin.com/company/toronto-hydro","14 Carlton St, Toronto, ON M5B 1K5, CA","Toronto","ON","CA",1856,"Utilities","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","transalta.com","transalta.com","❌ 0 Records Found","❌ 0 Records Found",,"TransAlta","TransAlta","http://www.transalta.com",1571,"Calgary, Alberta","https://www.linkedin.com/company/transalta","TransAlta Place, 1100 1 St SE, Suite 1400, Calgary, Alberta T2G 1B1, CA","Calgary","Alberta","CA",1571,"Utilities","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","utilitieskingston.com","utilitieskingston.com","❌ 0 Records Found","❌ 0 Records Found",,"Utilities Kingston","Utilities Kingston","http://www.utilitieskingston.com",160,"Kingston, Ontario","https://www.linkedin.com/company/utilities-kingston","85 Lappan's Lane, Kingston, Ontario K7L 4X7, CA","Kingston","Ontario","CA",160,"Utilities","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","yukonenergy.ca","yukonenergy.ca","❌ 0 Records Found","❌ 0 Records Found",,"Yukon Energy Corporation","Yukon Energy Corporation","http://www.yukonenergy.ca",107,"Whitehorse, YT","https://www.linkedin.com/company/yukon-energy-corp","2 Miles Canyon Rd, Whitehorse, YT Y1A 6L4, CA","Whitehorse","YT","CA",107,"Utilities","✅ Sent","✅ Sent"
"Friday","Medium & Small Contacts","https://kbelectric.online/service/sports-lighting-installation","kbelectric.online","❌ 0 Records Found","❌ 0 Records Found",,"❌ Company Not Found",,,,,,,"","",,,,"✅ Sent","✅ Sent"
"Friday","Original List","http://www.willplumb.com","willplumb.com","❌ 0 Records Found","❌ 0 Records Found",,"Williams Plumbing / Williams Civil Construction","Williams Plumbing / Williams Civil Construction","http://www.willplumb.com",155,"Belgrade, MT","https://www.linkedin.com/company/williams-companies","370 Companion Way, Belgrade, MT 59714, US","Belgrade","MT","US",155,"Construction","✅ Sent","✅ Sent"
"Friday","Original List","cable-services.com","cable-services.com","❌ 0 Records Found","❌ 0 Records Found",,"Cable Services Company, Inc.","Cable Services Company, Inc.","http://www.cable-services.com",79,"Williamsport, PA","https://www.linkedin.com/company/cable-services-company-inc.","2113 Marydale Ave, Williamsport, PA 17701, US","Williamsport","PA","US",79,"Telecommunications","✅ Sent","✅ Sent"
"Friday","Original List","http://www.groupesmtardif.com","groupesmtardif.com","❌ 0 Records Found","❌ 0 Records Found",,"Groupe SM Tardif / SM Construction / Pagui / Tardif Métal","Groupe SM Tardif / SM Construction / Pagui / Tardif Métal","http://www.groupesmtardif.com",170,"Québec, Québec","https://www.linkedin.com/company/sm-construction","15971 boulevard de la colline, Québec, Québec G3G 3A7, CA","Québec","Québec","CA",170,"Construction","✅ Sent","✅ Sent"
"Friday","Original List","voltyx.com","voltyx.com","❌ 0 Records Found","❌ 0 Records Found",,"Electric Power Systems","Electric Power Systems","www.voltyx.com",717,"Maryland Heights, MO","https://www.linkedin.com/company/electric-power-systems","21 Millpark Ct, Maryland Heights, MO 63043, US","Maryland Heights","MO","US",717,"Utilities","✅ Sent","✅ Sent"
"Friday","Original List",,"",,,,,,,,,,,"","",,,,"✅ Sent","✅ Sent"
"Monday","Original List","http://www.archkey.com","archkey.com","❌ 0 Records Found","❌ 0 Records Found",,"ArchKey Solutions","ArchKey Solutions","https://www.ArchKey.com",861,"St. Louis, Missouri","https://www.linkedin.com/company/archkey-solutions","1572 Larkin Williams Rd, St. Louis, Missouri 63026, US","St. Louis","Missouri","US",861,"Construction","✅ Sent","✅ Sent"
"Monday","Original List","yoeconstruction.com","yoeconstruction.com","❌ 0 Records Found","❌ 0 Records Found",,"Yoe Construction, Inc.","Yoe Construction, Inc.","http://www.yoeconstruction.com",47,"Dallastown, PA","https://www.linkedin.com/company/yoeconstruction","435 East Locust Street, Dallastown, PA 17313, US","Dallastown","PA","US",47,"Construction","✅ Sent","✅ Sent"
"Monday","Original List","http://www.royalelect.com","royalelect.com","❌ 0 Records Found","❌ 0 Records Found",,"Royal Electric Company","Royal Electric Company","http://www.royalelect.com/",439,"Sacramento, California","https://www.linkedin.com/company/royal-electric-company","8481 Carbide Court, Sacramento, California 95828, US","Sacramento","California","US",439,"Construction","✅ Sent","✅ Sent"
"Monday","Original List","sargentlundy.com","sargentlundy.com","❌ 0 Records Found","❌ 0 Records Found",,"Sargent & Lundy","Sargent & Lundy","www.sargentlundy.com",4168,"Chicago, IL","https://www.linkedin.com/company/sargent-&-lundy","Chicago, IL, US","Chicago","IL","US",4168,"Professional Services","✅ Sent","✅ Sent"
"Monday","Original List","http://www.cdncontrols.ca","cdncontrols.ca","❌ 0 Records Found","❌ 0 Records Found",,"CDN","CDN","http://www.cdncontrols.ca",373,"Calgary, Alberta","https://www.linkedin.com/company/cdn-controls","311-6th Avenue SW, Suite 1610 E, Calgary, Alberta T2P 3H3			, CA","Calgary","Alberta","CA",373,"Oil and Gas","✅ Sent","✅ Sent"
"Monday","Original List","http://www.matrixnac.com","matrixnac.com","❌ 0 Records Found","❌ 0 Records Found",,"Matrix Service Company","Matrix Service Company","http://matrixservicecompany.com",803,"Tulsa, OK","https://www.linkedin.com/company/matrix-service-company","Suite 1100, 15 East 5th Street, Tulsa, OK 74103, US","Tulsa","OK","US",803,"Construction","✅ Sent","✅ Sent"
"Tuesday","Original List","http://www.waiward.com","waiward.com","❌ 0 Records Found","❌ 0 Records Found",,"Waiward Industrial","Waiward Industrial","http://www.waiward.com",296,"Edmonton, AB","https://www.linkedin.com/company/waiward-industrial-lp","10030 34 Street NW, Edmonton, AB T6B 2Y5, CA","Edmonton","AB","CA",296,"Construction","✅ Sent","✅ Sent"
"Tuesday","Original List","http://www.holtcc.com","holtcc.com","❌ 0 Records Found","❌ 0 Records Found",,"Holt Construction","Holt Construction","http://www.holtcc.com",291,"Pearl River, NY","https://www.linkedin.com/company/holt-construction-corp","50 East Washington Avenue, Pearl River, NY 10965, US","Pearl River","NY","US",291,"Construction","✅ Sent","✅ Sent"
"Tuesday","Original List","http://www.primaryeng.com","primaryeng.com","❌ 0 Records Found","❌ 0 Records Found",,"Primary Engineering and Construction","Primary Engineering and Construction","http://www.primaryeng.com",368,"Calgary, Alberta","https://www.linkedin.com/company/primary-engineering-and-construction","207 39 Avenue NE, Calgary, Alberta T2E 7E3, CA","Calgary","Alberta","CA",368,"Utilities","✅ Sent","✅ Sent"
"Tuesday","Original List","easresources.com","easresources.com","❌ 0 Records Found","❌ 0 Records Found",,"Energy Access Solutions LLC","Energy Access Solutions LLC","http://www.easresources.com",28,"Bryan, TX","https://www.linkedin.com/company/easresources","4234 Boonville Rd, Suite 300, Bryan, TX, US","Bryan","TX","US",28,"Oil and Gas","✅ Sent","✅ Sent"
"Tuesday","Original List","http://www.cespower.com","cespower.com","❌ 0 Records Found","❌ 0 Records Found",,"CES Power","CES Power","http://www.cespower.com",250,"Jacksonville, Florida","https://www.linkedin.com/company/ces-power","7411 Fullerton St, Jacksonville, Florida 32256, US","Jacksonville","Florida","US",250,"Equipment Rental Services","✅ Sent","✅ Sent"
"Tuesday","Original List","http://www.abenergyservices.com","abenergyservices.com","❌ 0 Records Found","❌ 0 Records Found",,"Arnett & Burgess Energy Services","Arnett & Burgess Energy Services","http://www.abenergyservices.com",200,"Calgary, AB","https://www.linkedin.com/company/arnett-burgess-energyservices","2930, 715 5th Avenue SW, Calgary, AB T2P 2X6, CA","Calgary","AB","CA",200,"Oil and Gas","✅ Sent","✅ Sent"
"Tuesday","Original List","infravision.com.au","infravision.com.au","❌ 0 Records Found","❌ 0 Records Found",,"Infravision","Infravision","https://www.infravisioninc.com/",207,"Austin, Texas","https://www.linkedin.com/company/infravisioninc","Austin, Texas 78704, US","Austin","Texas","US",207,"Utility System Construction","✅ Sent","✅ Sent"
"Tuesday","Original List","http://www.jjwhiteinc.com","jjwhiteinc.com","❌ 0 Records Found","❌ 0 Records Found",,"JJ White","JJ White","http://www.jjwhiteinc.com",179,"Philadelphia, Pennsylvania","https://www.linkedin.com/company/j.-j.-white-inc.","5500 Bingham St, Philadelphia, Pennsylvania 19120, US","Philadelphia","Pennsylvania","US",179,"Construction","✅ Sent","✅ Sent"
"Tuesday","Original List","jbconstructionco.com","jbconstructionco.com","❌ 0 Records Found","❌ 0 Records Found",,"John Burns","John Burns","http://www.jbcco.com/",175,"Westmont, Illinois","https://www.linkedin.com/company/john-burns-construction-company","999 Oakmont Plaza Dr, Suite 400, Westmont, Illinois 60559, US","Westmont","Illinois","US",175,"Construction","✅ Sent","✅ Sent"
"Tuesday","Original List","http://www.atwell.com","atwell.com","❌ 0 Records Found","❌ 0 Records Found",,"Atwell, LLC","Atwell, LLC","https://atwell.com/",1382,"Southfield, MI","https://www.linkedin.com/company/atwell-llc","Two Towne Square, Suite 700, Southfield, MI 48076, US","Southfield","MI","US",1382,"Civil Engineering","✅ Sent","✅ Sent"
"Tuesday","Original List","http://www.big-d.com","big-d.com","❌ 0 Records Found","❌ 0 Records Found",,"Big-D Construction","Big-D Construction","https://big-d.com/",995,"Salt Lake City, UT","https://www.linkedin.com/company/big-d-construction","404 West 400 South, Salt Lake City, UT 84101, US","Salt Lake City","UT","US",995,"Construction","✅ Sent","✅ Sent"
"Tuesday","Original List","http://www.pikeengineering.com","pikeengineering.com","❌ 0 Records Found","❌ 0 Records Found",,"Pike Engineering","Pike Engineering","http://www.pikeengineering.com",1460,"Fort Mill, South Carolina","https://www.linkedin.com/company/pikeengingeering","123 N White St, Fort Mill, South Carolina 29715, US","Fort Mill","South Carolina","US",1460,"Utilities","✅ Sent","✅ Sent"
"Tuesday","Original List","http://www.mhi.ca","mhi.ca","❌ 0 Records Found","❌ 0 Records Found",,"Manitoba Hydro International","Manitoba Hydro International","http://www.mhi.ca",140,"Winnipeg, Manitoba","https://www.linkedin.com/company/manitoba-hydro-international","211 Commerce Drive, Winnipeg, Manitoba R3P 1A3, CA","Winnipeg","Manitoba","CA",140,"Utilities","✅ Sent","✅ Sent"
"Tuesday","Original List","rcgroupusa.com","rcgroupusa.com","❌ 0 Records Found","❌ 0 Records Found",,"Royal Construction Group","Royal Construction Group","http://www.rcgroupusa.com",14,"Upland, California","https://www.linkedin.com/company/rcgroupusa","1522 Howard Access Rd, Suite A, Upland, California 91786, US","Upland","California","US",14,"Construction","✅ Sent","✅ Sent"
"Tuesday","Original List","http://www.masseyelectric.com","masseyelectric.com","❌ 0 Records Found","❌ 0 Records Found",,"Massey Electric","Massey Electric","http://Masseyelectric.com",125,"Alcoa, Tennessee","https://www.linkedin.com/company/massey-electric","3204 Regal Drive, Alcoa, Tennessee 37701, US","Alcoa","Tennessee","US",125,"Appliances, Electrical, and Electronics Manufacturing","✅ Sent","✅ Sent"
"Tuesday","Original List","http://www.industelectric.com","industelectric.com","❌ 0 Records Found","❌ 0 Records Found",,"Industrial Electric Inc.","Industrial Electric Inc.","http://www.IndustElectric.com",124,"Indianapolis, Indiana","https://www.linkedin.com/company/industrial-electric-inc.","1445 Brookville Way, Suite Q, Indianapolis, Indiana 46239, US","Indianapolis","Indiana","US",124,"Construction","✅ Sent","✅ Sent"
"Tuesday","Original List","http://www.starelectrictx.com","starelectrictx.com","❌ 0 Records Found","❌ 0 Records Found",,"Star Electric","Star Electric","http://www.starelectrictx.com",144,"Odessa, TX","https://www.linkedin.com/company/star-electric","2586 S County Rd W, Odessa, TX 79760, US","Odessa","TX","US",144,"Oil and Gas","✅ Sent","✅ Sent"
"Tuesday","Original List","mptech.biz","mptech.biz","❌ 0 Records Found","❌ 0 Records Found",,"MP Technologies","MP Technologies","http://www.mptech.biz",112,"Cypress, TX","https://www.linkedin.com/company/mp-technologies","14140 Cypress N Houston, Cypress, TX 77429, US","Cypress","TX","US",112,"Utilities","✅ Sent","✅ Sent"
"Tuesday","Original List","eutilsolutions.com","eutilsolutions.com","❌ 0 Records Found","❌ 0 Records Found",,"Engineered Utility Solutions Inc.","Engineered Utility Solutions Inc.","www.eutilsolutions.com",1,"Houston, TX","https://www.linkedin.com/company/engineered-utility-solutions-inc","8603 Crossriver Lane, Houston, TX 77095, US","Houston","TX","US",1,"Engineering Services","✅ Sent","✅ Sent"
